Node ID,Latitude,Longitude,Properties
137747210,36.1382350,-115.1433310,0
137747215,36.1384320,-115.1414910,0
137747218,36.1384160,-115.1412090,0
137747221,36.1383600,-115.1409740,0
137747224,36.1381210,-115.1404180,0
137747227,36.1379610,-115.1401770,0
137747230,36.1372230,-115.1393570,0
137747233,36.1371290,-115.1391840,0
137747237,36.1370390,-115.1389270,0
137747240,36.1370150,-115.1387960,0
137747244,36.1369820,-115.1325360,0
137747247,36.1369530,-115.1324060,0
137747252,36.1367650,-115.1320400,0
137747255,36.1367140,-115.1318340,0
137747258,36.1367250,-115.1291400,0
137747261,36.1367460,-115.1288450,0
137747264,36.1370090,-115.1276870,0
137747267,36.1370320,-115.1273650,0
137747270,36.1370240,-115.1225540,0
137747273,36.1370380,-115.1222450,0
137747276,36.1370460,-115.1054850,0
137751431,36.1038330,-115.1359400,0
137751441,36.1018900,-115.1357850,0
137755271,36.1364780,-115.1476300,0
137755274,36.1366100,-115.1476350,0
137756637,36.1075160,-115.1353220,0
137756639,36.1073460,-115.1353930,0
137756641,36.1072060,-115.1354280,0
137756644,36.1069410,-115.1355670,0
137756646,36.1063860,-115.1360170,0
137756648,36.1062370,-115.1360650,0
277479568,36.1412543,-115.1514612,0
277483270,36.1297355,-115.1586442,0
297854213,36.1079127,-115.1485852,0
297854214,36.1114353,-115.1487568,0
297854215,36.1124893,-115.1492032,0
297854216,36.1132659,-115.1467570,0
297854217,36.1134600,-115.1464394,0
297854219,36.1134739,-115.1436671,0
297854220,36.1119900,-115.1436070,0
297854397,36.1111163,-115.1466969,0
297854398,36.1110886,-115.1457699,0
297854399,36.1112273,-115.1452120,0
297854400,36.1112966,-115.1443108,0
297854401,36.1118791,-115.1442421,0
297854403,36.1134751,-115.1469557,0
297854405,36.1146249,-115.1437529,0
297854406,36.1118568,-115.1388016,0
297854410,36.1029738,-115.1381466,0
297854411,36.1009531,-115.1380242,0
297854412,36.1009321,-115.1427231,0
297854413,36.1042929,-115.1427229,0
297854416,36.1061653,-115.1460446,0
297854417,36.1066645,-115.1460446,0
297854418,36.1077741,-115.1460274,0
297854419,36.1078370,-115.1466109,0
297854437,36.1097984,-115.1375223,0
297854438,36.1133768,-115.1443537,0
297854439,36.1117265,-115.1380022,0
297854440,36.1044382,-115.1379765,0
297854441,36.1030447,-115.1378907,0
297854442,36.1058185,-115.1433667,0
297854443,36.1057769,-115.1458386,0
297854664,36.1165247,-115.1579407,0
297854803,36.1226258,-115.1549569,0
297854813,36.1423831,-115.1545439,0
297854814,36.1419862,-115.1545409,0
297854816,36.1387783,-115.1543530,0
297854819,36.1372034,-115.1529015,0
297854822,36.1358185,-115.1526793,0
297854823,36.1354912,-115.1529444,0
297854824,36.1351599,-115.1535119,0
297854826,36.1343544,-115.1544636,0
297854829,36.1309230,-115.1545838,0
297854831,36.1292315,-115.1543520,0
297854832,36.1285036,-115.1544636,0
297854835,36.1221670,-115.1551417,0
297854837,36.1220353,-115.1558369,0
297854840,36.1222433,-115.1591328,0
297854843,36.1219382,-115.1641024,0
297854844,36.1205030,-115.1640080,0
297854847,36.1198583,-115.1681107,0
297854849,36.1187296,-115.1684292,0
297854850,36.1161959,-115.1685051,0
297854852,36.1144191,-115.1677525,0
297854855,36.1137820,-115.1672686,0
297854856,36.1131466,-115.1672953,0
297854858,36.1124809,-115.1673726,0
297854861,36.1049919,-115.1673468,0
297854862,36.1041875,-115.1671408,0
297854864,36.1035440,-115.1673306,0
297854865,36.1029060,-115.1677426,0
297854868,36.1016771,-115.1676300,0
297854870,36.1014066,-115.1670979,0
297854871,36.1013720,-115.1663340,0
297854892,36.1430711,-115.1545751,0
297854893,36.1390472,-115.1544293,0
297854895,36.1377787,-115.1533478,0
297854896,36.1374807,-115.1531075,0
297854897,36.1368929,-115.1526793,0
297854898,36.1363231,-115.1524981,0
297854900,36.1348272,-115.1541642,0
297854901,36.1340286,-115.1544808,0
297854902,36.1298415,-115.1543520,0
297854903,36.1279975,-115.1547469,0
297854905,36.1276786,-115.1548499,0
297854906,36.1220422,-115.1554678,0
297854908,36.1221462,-115.1574162,0
297854909,36.1223126,-115.1634673,0
297854910,36.1222641,-115.1638106,0
297854912,36.1200330,-115.1641377,0
297854913,36.1199068,-115.1644286,0
297854914,36.1195393,-115.1684197,0
297854915,36.1146651,-115.1684798,0
297854916,36.1143194,-115.1675175,0
297854917,36.1141117,-115.1673212,0
297854919,36.1127929,-115.1673811,0
297854920,36.1088003,-115.1674851,0
297854921,36.1055397,-115.1674326,0
297854923,36.1039170,-115.1671236,0
297854924,36.1024158,-115.1677329,0
297854925,36.1019822,-115.1677330,0
297854926,36.1014898,-115.1673811,0
297854927,36.1013409,-115.1651923,0
302177457,36.1134274,-115.1456918,0
302177462,36.1117976,-115.1456304,0
302178273,36.1121229,-115.1482206,0
302178275,36.1116996,-115.1483310,0
302178277,36.1115103,-115.1483241,0
302178279,36.1114546,-115.1484413,0
302178281,36.1110591,-115.1483723,0
302178283,36.1108308,-115.1480621,0
302178284,36.1108586,-115.1474692,0
302178286,36.1109143,-115.1467729,0
302178287,36.1112262,-115.1467660,0
302178288,36.1116941,-115.1467729,0
302178290,36.1118667,-115.1468004,0
302178292,36.1119280,-115.1468625,0
302178296,36.1121007,-115.1471107,0
302178299,36.1121452,-115.1472141,0
302178301,36.1121508,-115.1473795,0
302178317,36.1121508,-115.1477449,0
302178321,36.1125219,-115.1491007,0
302178322,36.1119391,-115.1488687,0
302178324,36.1128965,-115.1479206,0
302178326,36.1122900,-115.1476346,0
302178331,36.1129305,-115.1475381,0
302178333,36.1122120,-115.1475450,0
302178335,36.1121731,-115.1462558,0
302178337,36.1128693,-115.1462144,0
302178365,36.1120784,-115.1468418,0
302178367,36.1120839,-115.1462006,0
302178369,36.1112206,-115.1460559,0
302178371,36.1221670,-115.1595963,0
302178373,36.1223823,-115.1550554,0
302178375,36.1224457,-115.1595778,0
302178386,36.1124847,-115.1550725,0
302178388,36.1125316,-115.1540267,0
302178390,36.1128133,-115.1528355,0
302178392,36.1129776,-115.1510633,0
302178393,36.1130714,-115.1504823,0
302178395,36.1132592,-115.1501917,0
302178397,36.1134939,-115.1501046,0
302178399,36.1135643,-115.1494073,0
302178400,36.1135643,-115.1478676,0
302178402,36.1136113,-115.1473737,0
302178403,36.1136905,-115.1463032,0
302178404,36.1137103,-115.1458865,0
302178407,36.1138588,-115.1453227,0
302178408,36.1142450,-115.1447711,0
302178410,36.1149480,-115.1444280,0
